Faixa,CA,Processo,Coordenador,Instituição,UF,Região,Recomendação CA,Aprovação,Custeio.Aprov,Capital.Aprov,Bolsas.Aprov,Total.Aprovado
Faixa A,AC,408489/2023-5,Lidia Eugenia Cavalcante,UFC,CE,NE,Recomendada,Aprovada,28639,14000,0,42639
Faixa A,AC,406729/2023-9,Carolina Ferreira da Fonseca,UFPB,PB,NE,Recomendada,Aprovada,42000,0,0,42000
Faixa A,AC,408840/2023-4,Ana Carolina Nunes do Couto,UFPE,PE,NE,Recomendada,Aprovada,0,20000,0,20000
Faixa A,AC,402272/2023-4,Alessandra Souza Melett Brum,UFJF,MG,SE,Recomendada,Aprovada,9760,25000,0,34760
Faixa A,AC,407697/2023-3,Beatriz Brandao Polivanov,UFF,RJ,SE,Recomendada,Aprovada,30000,15300,0,45300
Faixa A,AC,421556/2023-4,Juliano Mauricio de Carvalho,UNESP,SP,SE,Recomendada,Aprovada,21480,0,28020,49500
Faixa A,AC,408708/2023-9,Marcia Cristina Pascotto,UFMT,MT,CO,Recomendada,Aprovada,5177,5000,8580,18757
Faixa A,AC,407164/2023-5,Fabiano Couto Correa da Silva,UFRGS,RS,SU,Recomendada,Aprovada,16000,6000,23300,45300
Faixa A,AC,406531/2023-4,Juliano Jose de Araujo,UNIR,RO,NO,Recomendada,Aprovada,49500,0,0,49500
Faixa A,AC,402878/2023-0,Leandro Leonardo Batista,USP,SP,SE,Recomendada,Aprovada,42250,27750,0,70000
Faixa A,AC,406745/2023-4,Liliam Cristina Barros Cohen,UFPA,PA,NO,Recomendada,Aprovada,20000,0,0,20000
Faixa A,AC,421178/2023-0,Felipe Augusto Arakaki,UnB,DF,CO,Recomendada,Aprovada,6000,6000,0,12000
Faixa A,AC,409643/2023-8,Roberta Oliveira Veiga,FPESPPF_PPROV,MG,SE,Recomendada,Aprovada,32000,0,13440,45440
Faixa A,AC,401963/2023-3,Bibiana Maria Bragagnolo,UFMT,MT,CO,Recomendada,Aprovada,13000,0,0,13000
Faixa A,AC,403286/2023-9,Diogenes Lycariao Barreto de Sousa,UFC,CE,NE,Recomendada,Aprovada,29500,0,0,29500
Faixa A,AC,406049/2023-8,Ludmila Moreira Macedo de Carvalho,UFRB,BA,NE,Recomendada,Aprovada,25840,25000,0,50840
Faixa A,AC,407191/2023-2,Maria Brigida de Miranda,UDESC,SC,SU,Recomendada,Aprovada,31000,0,9240,40240
Faixa A,AC,402191/2023-4,Tais Ferreira,UFRGS,RS,SU,Recomendada,Aprovada,15000,15000,9240,39240
Faixa A,AC,421858/2023-0,Maria Terezinha da Silva,UFSC,SC,SU,Recomendada,Aprovada,30000,20000,0,50000
Faixa A,AC,406520/2023-2,Nadia da Cruz Senna,UFPEL,RS,SU,Recomendada,Aprovada,25000,13915,0,38915
Faixa A,AC,421802/2023-5,Sivaldo Pereira da Silva,UnB,DF,CO,Recomendada,Aprovada,40000,4800,0,44800
Faixa A,AC,420573/2023-2,Jose Soares de Deus,UFU,MG,SE,Recomendada,Aprovada,19000,9000,0,28000
Faixa A,AC,401548/2023-6,Cristovao Domingos de Almeida,UFMT,MT,CO,Recomendada,Aprovada,32000,16500,0,48500
Faixa A,AC,406396/2023-0,Rosane Suely Alvares Lunardelli,UEL,PR,SU,Recomendada,Aprovada,14000,6000,13860,33860
Faixa A,AC,420341/2023-4,Karla Schuch Brunet,UFBA,BA,NE,Recomendada,Aprovada,1500,0,0,1500
Faixa A,AC,421918/2023-3,Miriam de Souza Rossini,UFRGS,RS,SU,Recomendada,Aprovada,40000,10000,0,50000
Faixa A,AC,407062/2023-8,Ana Carolina Soares Costa Vimieiro,UFMG,MG,SE,Recomendada,Aprovada,20000,0,9240,29240
Faixa A,AC,406683/2023-9,Jose Ribamar Ferreira Junior,UFMA,MA,NE,Recomendada,Aprovada,17000,8000,0,25000
Faixa A,AC,420499/2023-7,Roniberto Morato do Amaral,UFSCAR,SP,SE,Recomendada,Aprovada,0,13500,17930,31430
Faixa A,AC,406689/2023-7,Priscila Ferreira Perazzo,USCS,SP,SE,Recomendada,Aprovada,16900,2000,34320,53220
Faixa A,AC,420036/2023-7,Djuli Machado de Lucca,UNIR,RO,NO,Recomendada,Aprovada,7500,4000,0,11500
Faixa A,AC,405493/2023-1,Maria Elizabeth Baltar Carneiro de Albuquerque,UFPB,PB,NE,Recomendada,Aprovada,13500,18100,0,31600
Faixa A,AC,404513/2023-9,Fabio Hansen,UFPA,PA,NO,Recomendada,Aprovada,22700,0,0,22700
Faixa A,AC,421457/2023-6,Wilson Rogerio dos Santos,UFT,TO,NO,Recomendada,Aprovada,0,20000,0,20000
Faixa A,AC,408235/2023-3,Carina Maria Guimaraes Moreira,UFSJ,MG,SE,Recomendada,Aprovada,22000,10000,0,32000
Faixa A,AC,421849/2023-1,Rita do Carmo Ferreira Laipelt,UFRGS,RS,SU,Recomendada,Aprovada,4500,8000,4620,17120
Faixa A,AC,407876/2023-5,Joao Fortunato Soares de Quadros Junior,UFOP,MG,SE,Recomendada,Aprovada,0,20000,0,20000
Faixa A,AC,421502/2023-1,William Barbosa Vianna,UFSC,SC,SU,Recomendada,Aprovada,3500,8000,0,11500
